id,title,published_date,address,category,meters,floor,rooms,price
21581940,Spacieux 4.5 pièces avec vue - à deux pas du Lac à Morges,2019-07-05,Avenue Ignace-Paderewski 28E | 1110 Morges,Apartment,113,Floor 4,4.5,3700.0
21643419,"Fabuleux bureaux avec arcade, au bord du lac à Morges",2019-07-03,Rue Louis-de-Savoie 78 | 1110 Morges,Commercial property,,,,7900.0
21910051,Magnifique appartement de 3 pièces au coeur de la vieille ville,2019-06-26,Rue Louis-de-Savoie 41 | 1110 Morges,Apartment,90,Floor 2,3.0,2500.0
19502099,Magnifique surface avec accès privatif,2019-06-25,Avenue de la Gottaz 34 | 1110 Morges,Commercial property,,Floor 1,,17835.0
19017244,Emplacement idéal - A côté d'un accès autoroutier,2019-06-25,Avenue de la Gottaz 34 | 1110 Morges,Commercial property,,Floor 2,,22475.0
22002701,Vaud : Superbe Tea-room avec labo à vendre,2019-06-20,1110 Morges,Commercial property,,,,3550.0
21426833,Magnifique 4.5 pièces en duplex à louer,2019-06-12,1110 Morges,Maisonette,140,,4.5,2720.0
21393360,Suisse romande : Laboratoire production CBD,2019-06-06,1110 Morges,Commercial property,,,,7500.0
21805940,A DEUX PAS DU LAC,2019-06-06,Rue du Bluard 2 | 1110 Morges,Apartment,65,Ground floor,2.5,2500.0
21332017," Wohnung ,  CH-1110 Morges, Route de Lausanne 33 ",2019-05-29,1110 Morges,Apartment,,Floor 6,3.5,3700.0
21300154,Nyon : Magnifique Restaurant à vendre,2019-05-23,1110 Morges,Commercial property,,,,6500.0
21300152,La Côte : Cause départ retraite Hotel-Restaurant à céder,2019-05-22,1110 Morges,Commercial property,,,,4500.0
21264811," Wohnung ,  CH-1110 Morges, Grande Rue 79 ",2019-05-17,1110 Morges,Apartment,85,Floor 3,3.0,2395.0
20871116,Éblouissants et spacieux appartements neufs de 3 pièces,2019-05-01,Rue de Lausanne 37 | 1110 Morges,Apartment,80,,3.0,2530.0
22020437,Morges : Superbe Bureau centre-ville à louer,2019-04-29,1110 Morges,Commercial property,,,,2750.0
21004584,Surfaces commerciales de 240 m2,2019-04-08,Rue de Lausanne 54 | 1110 Morges,Commercial property,240,Floor 1,,6250.0
20933317,LA COTE : SUPERBE ARCADE DEDIEE A LA DECORATION D'INTERIEUR,2019-03-28,1110 Morges,Commercial property,,,,5100.0
21162007,Suisse Romande : Animalerie à remettre,2019-03-27,1110 Morges,Commercial property,,,,3100.0
